,cv_roc_auc,test_roc_auc,test_f1
logistic_regression,0.9717670735415508,0.9642980683452582,0.8933333333333333
random_forest,0.9646171519960527,0.9550312232599631,0.8633540372670807
gradient_boosting,0.965088588343764,0.9602836492071295,0.8794788273615635
