id_municipio,nome_municipio,sigla_uf,probabilidade_atingir_meta_2024,classificacao_risco
1503044,Floresta do Araguaia,PA,0.0032081921132207265,Alto risco
1718501,Recursolândia,TO,0.003234809147427891,Alto risco
1713957,Muricilândia,TO,0.003246168281386679,Alto risco
2804508,Nossa Senhora da Glória,SE,0.0032705407024852095,Alto risco
1718204,Porto Nacional,TO,0.0032854667200828713,Alto risco
2612000,Sairé,PE,0.0032965306020873862,Alto risco
2806701,São Cristóvão,SE,0.0033441823546173245,Alto risco
1200807,Porto Acre,AC,0.0033509313395140477,Alto risco
1303106,Nova Olinda do Norte,AM,0.0033523739023714125,Alto risco
1703891,Carrasco Bonito,TO,0.0033685533159220926,Alto risco
2311207,Potengi,CE,0.003370429961435407,Alto risco
1200013,Acrelândia,AC,0.003387068405864815,Alto risco
2313005,Solonópole,CE,0.0033892080018814545,Alto risco
2307601,Limoeiro do Norte,CE,0.0033943365111937253,Alto risco
1304005,Silves,AM,0.003400867156316521,Alto risco
1713700,Monte Santo do Tocantins,TO,0.003402516962941506,Alto risco
1300631,Beruri,AM,0.0034287915762170095,Alto risco
2612307,Saloá,PE,0.0034402832202232664,Alto risco
2413003,São Vicente,RN,0.0034684428765473204,Alto risco
1200708,Xapuri,AC,0.0034764651987173345,Alto risco
2605103,Custódia,PE,0.003502707169927899,Alto risco
2606903,Iguaracy,PE,0.003521130676558277,Alto risco
1715101,Novo Acordo,TO,0.0035389337379520673,Alto risco
2406304,Lagoa de Pedras,RN,0.0035481491787290095,Alto risco
1301654,Guajará,AM,0.0035540444135181296,Alto risco
2407005,Luís Gomes,RN,0.003573427031005259,Alto risco
1713304,Miranorte,TO,0.003579987151589332,Alto risco
1505551,Pau D'Arco,PA,0.0036063992876491325,Alto risco
1303957,São Sebastião do Uatumã,AM,0.0036220216250239636,Alto risco
2607406,Itacuruba,PE,0.0036719370224572103,Alto risco
2803500,Lagarto,SE,0.0036724751549872857,Alto risco
2805307,Pirambu,SE,0.0036929855691419738,Alto risco
1600808,Vitória do Jari,AP,0.003767735887305467,Alto risco
1600501,Oiapoque,AP,0.0037988487518745197,Alto risco
1300805,Borba,AM,0.0038298055884809644,Alto risco
2308203,Meruoca,CE,0.003858749935171175,Alto risco
1720903,Taguatinga,TO,0.00388427369923071,Alto risco
2312700,Senador Pompeu,CE,0.003895221130093719,Alto risco
1501808,Breves,PA,0.0038971223224494905,Alto risco
2800605,Barra dos Coqueiros,SE,0.003933173015359672,Alto risco
1301605,Fonte Boa,AM,0.0039392056471618635,Alto risco
2601409,Barreiros,PE,0.003942757731093903,Alto risco
2406155,Jundiá,RN,0.00402608273682165,Alto risco
2613008,São Bento do Una,PE,0.0040798921898974735,Alto risco
1200609,Tarauacá,AC,0.004081568411444916,Alto risco
1200252,Epitaciolândia,AC,0.004123474094918011,Alto risco
2405702,Jardim do Seridó,RN,0.004130669978863851,Alto risco
1200054,Assis Brasil,AC,0.00416269091738961,Alto risco
2601904,Bezerros,PE,0.004220211857177291,Alto risco
2805703,Propriá,SE,0.004246829499308342,Alto risco
1507300,São Félix do Xingu,PA,0.004294599905272414,Alto risco
1707009,Dianópolis,TO,0.004296212549864431,Alto risco
1713601,Monte do Carmo,TO,0.004300847723144992,Alto risco
1200351,Marechal Thaumaturgo,AC,0.004316937048508821,Alto risco
2403608,Extremoz,RN,0.004318161775578775,Alto risco
1200393,Porto Walter,AC,0.00435087958781264,Alto risco
1714203,Natividade,TO,0.004366521227039562,Alto risco
1600535,Porto Grande,AP,0.00438074499293305,Alto risco
1600238,Ferreira Gomes,AP,0.0044897736254589544,Alto risco
1200336,Mâncio Lima,AC,0.004497327118726207,Alto risco
1716505,Pedro Afonso,TO,0.004500702031774773,Alto risco
1508100,Tucuruí,PA,0.004504695486539235,Alto risco
2613107,São Caitano,PE,0.004514900838389785,Alto risco
1718303,Praia Norte,TO,0.004554090422220275,Alto risco
1715002,Nova Rosalândia,TO,0.004556214640526009,Alto risco
2601102,Araripina,PE,0.004594187377583602,Alto risco
2803708,Macambira,SE,0.004598531932874351,Alto risco
1600709,Tartarugalzinho,AP,0.004704195563007829,Alto risco
2603702,Canhotinho,PE,0.004717536651139143,Alto risco
1600253,Itaubal,AP,0.004780786187546531,Alto risco
1200344,Manoel Urbano,AC,0.0047848687936830996,Alto risco
1302702,Manicoré,AM,0.00485544246836328,Alto risco
2801603,Cedro de São João,SE,0.004876339514496512,Alto risco
1600154,Pedra Branca do Amapari,AP,0.0048808432400659916,Alto risco
1303205,Novo Airão,AM,0.005205467522866558,Alto risco
1707652,Figueirópolis,TO,0.005268941301768374,Alto risco
1200401,Rio Branco,AC,0.005316416325377955,Alto risco
1501758,Brejo Grande do Araguaia,PA,0.005349400362940064,Alto risco
2601300,Barra de Guabiraba,PE,0.005493730493174149,Alto risco
1504059,Mãe do Rio,PA,0.0055066259967600254,Alto risco
2804805,Nossa Senhora do Socorro,SE,0.005851197981134583,Alto risco
1600212,Cutias,AP,0.0058551175148904245,Alto risco
2807204,Siriri,SE,0.006613822333721549,Alto risco
1302900,Maués,AM,0.00709172140276885,Alto risco
2702553,Estrela de Alagoas,AL,0.0072120883960079775,Alto risco
1600600,Santana,AP,0.007565945111106122,Alto risco
1100106,Guajará-Mirim,RO,0.007738302583959536,Alto risco
2708402,São José da Tapera,AL,0.009353100198892943,Alto risco
2201150,Baixa Grande do Ribeiro,PI,0.009587706505566108,Alto risco
2207603,Parnaguá,PI,0.010778951806924595,Alto risco
2702009,Coité do Nóia,AL,0.012453524446853822,Alto risco
2704104,Lagoa da Canoa,AL,0.012457138178711231,Alto risco
2911402,Glória,BA,0.012543952092385282,Alto risco
2704203,Limoeiro de Anadia,AL,0.012747601520895097,Alto risco
2705101,Matriz de Camaragibe,AL,0.012822381218504536,Alto risco
2910602,Esplanada,BA,0.012895427440417828,Alto risco
2211407,Várzea Grande,PI,0.013074716096332971,Alto risco
2926657,Ribeirão do Largo,BA,0.013094544686736771,Alto risco
2703106,Igaci,AL,0.013356695863882011,Alto risco
2933307,Vitória da Conquista,BA,0.013371708170764426,Alto risco
2206670,Morro do Chapéu do Piauí,PI,0.013632814058868993,Alto risco
2207306,Paes Landim,PI,0.013737880592132103,Alto risco
2203800,Flores do Piauí,PI,0.01431447243073538,Alto risco
1100940,Cujubim,RO,0.014356733314929312,Alto risco
2208700,Redenção do Gurguéia,PI,0.014395538074305618,Alto risco
1101468,Pimenteiras do Oeste,RO,0.014778520198598374,Alto risco
2907004,Cardeal da Silva,BA,0.014856082061021856,Alto risco
2701308,Cajueiro,AL,0.01501251047598528,Alto risco
2202851,Coronel José Dias,PI,0.015148149418758841,Alto risco
1400308,Mucajaí,RR,0.015257481633194243,Alto risco
1400472,Rorainópolis,RR,0.015519350025418186,Alto risco
2504504,Condado,PB,0.015545088517766658,Alto risco
2909406,Cotegipe,BA,0.015864602728921946,Alto risco
2922656,Nordestina,BA,0.015928765101650838,Alto risco
2916500,Itapicuru,BA,0.01600067351545553,Alto risco
1101005,Governador Jorge Teixeira,RO,0.01602593751071545,Alto risco
2513158,Santa Cecília,PB,0.016102186052706628,Alto risco
2923308,Ouriçangas,BA,0.016127630065008548,Alto risco
2201903,Bom Jesus,PI,0.016199376931375124,Alto risco
2707008,Pindoba,AL,0.016305093000913172,Alto risco
2705408,Monteirópolis,AL,0.01643421460631343,Alto risco
1100031,Cabixi,RO,0.016524152993385145,Alto risco
2200707,Anísio de Abreu,PI,0.01657351860965109,Alto risco
1400282,Iracema,RR,0.016615707884893877,Alto risco
2909901,Curaçá,BA,0.016759511961860152,Alto risco
1101435,Nova União,RO,0.016777812702498517,Alto risco
2501807,Bayeux,PB,0.016796923921999433,Alto risco
2704500,Maragogi,AL,0.016873190793151,Alto risco
2208908,Ribeiro Gonçalves,PI,0.017021430500914883,Alto risco
2207777,Patos do Piauí,PI,0.017034183363318644,Alto risco
1100254,Presidente Médici,RO,0.017099889277055243,Alto risco
2707206,Poço das Trincheiras,AL,0.017101861549561507,Alto risco
2930402,Serra Preta,BA,0.017164844360599552,Alto risco
2928802,Santo Estêvão,BA,0.017203910883575178,Alto risco
1101708,Urupá,RO,0.017207054063511567,Alto risco
2932309,Ubatã,BA,0.017272557428790084,Alto risco
1100205,Porto Velho,RO,0.017444971727829384,Alto risco
2700607,Barra de São Miguel,AL,0.017478443914873434,Alto risco
1400050,Alto Alegre,RR,0.017537534046083218,Alto risco
2931905,Tucano,BA,0.01855634178416626,Alto risco
1100502,Novo Horizonte do Oeste,RO,0.01870252362787175,Alto risco
2701209,Cacimbinhas,AL,0.01893937485452449,Alto risco
1400175,Cantá,RR,0.019347793552929076,Alto risco
2207553,Paquetá,PI,0.0194851507436035,Alto risco
2902302,Aratuípe,BA,0.01982025903668711,Alto risco
1100080,Costa Marques,RO,0.01983317672418993,Alto risco
1100015,Alta Floresta D'Oeste,RO,0.019976291554896435,Alto risco
1101104,Itapuã do Oeste,RO,0.02004783293540241,Alto risco
1400506,São João da Baliza,RR,0.02021529190991627,Alto risco
2201309,Barreiras do Piauí,PI,0.0203150404585198,Alto risco
2901403,Angical,BA,0.02057317450529608,Alto risco
2207355,Pajeú do Piauí,PI,0.020607916608454683,Alto risco
2704005,Junqueiro,AL,0.020797674761616234,Alto risco
2108058,Paulino Neves,MA,0.020926484600171737,Alto risco
2108256,Pedro do Rosário,MA,0.020996451946587204,Alto risco
1400456,Pacaraima,RR,0.02100536958611635,Alto risco
2202752,Colônia do Gurguéia,PI,0.021149298018674337,Alto risco
1101757,Vale do Anari,RO,0.021327823005277104,Alto risco
2110005,Santa Luzia,MA,0.021369578161700667,Alto risco
2928950,São Domingos,BA,0.021425524195685042,Alto risco
2701902,Chã Preta,AL,0.021803759739929946,Alto risco
2919702,Macarani,BA,0.021805230973639796,Alto risco
2205300,Jerumenha,PI,0.021926859998777058,Alto risco
2703304,Inhapi,AL,0.022051953659361738,Alto risco
2516607,Tavares,PB,0.022145557736904596,Alto risco
1100056,Cerejeiras,RO,0.02214621370331848,Alto risco
2516805,Triunfo,PB,0.0224870604020543,Alto risco
2505303,Curral Velho,PB,0.022583277034984243,Alto risco
1400233,Caroebe,RR,0.022597065770961156,Alto risco
2511301,Piancó,PB,0.02283516815168372,Alto risco
1400027,Amajari,RR,0.02286746140653544,Alto risco
2509107,Mari,PB,0.023084658934306793,Alto risco
2913903,Ipiaú,BA,0.023218483739193205,Alto risco
2503308,Cachoeira dos Índios,PB,0.023256247394688973,Alto risco
2709103,Taquarana,AL,0.023709434190848942,Alto risco
2104701,Graça Aranha,MA,0.024220683502584966,Alto risco
2700102,Água Branca,AL,0.02423271123755714,Alto risco
2111904,Sucupira do Norte,MA,0.02433368545795363,Alto risco
1100114,Jaru,RO,0.02434920168240918,Alto risco
2906857,Capela do Alto Alegre,BA,0.02444005103920349,Alto risco
1400209,Caracaraí,RR,0.024629362464744606,Alto risco
1400159,Bonfim,RR,0.024641126015926555,Alto risco
2701357,Campestre,AL,0.0246426990756379,Alto risco
2515971,Sobrado,PB,0.024817449443645646,Alto risco
2203107,Cristino Castro,PI,0.02518324793517683,Alto risco
2102358,Buritirana,MA,0.025451108796250642,Alto risco
1400100,Boa Vista,RR,0.025465298280052853,Alto risco
1400605,São Luiz do Anauá,RR,0.025805924121429985,Alto risco
2111748,Senador Alexandre Costa,MA,0.02627591936597957,Alto risco
1100338,Nova Mamoré,RO,0.026579953212762717,Alto risco
2500403,Alagoa Nova,PB,0.02668560500280307,Alto risco
1100098,Espigão D'Oeste,RO,0.02672770863715627,Alto risco
2501401,Baía da Traição,PB,0.026769377720772845,Alto risco
1400407,Normandia,RR,0.026781670375254397,Alto risco
2107506,Paço do Lumiar,MA,0.02702676282500591,Alto risco
